code,name,lat,long,tambon,amphoe,province,provinceEng,basin,region,regionEng,station_type
PSLT,อบต.โพธิ์ทอง,16.1209888,99.5257152,โพธิ์ทอง,ปางศิลาทอง,กำแพงเพชร,Kamphaeng Phet,แม่น้ำปิง,ภาคเหนือ,North,R
NKMT,อบต.บ่อแฮ้ว,18.3194288,99.4466112,บ่อแฮ้ว,เมืองลำปาง,ลำปาง,Lampang,แม่น้ำวัง,ภาคเหนือ,North,R
CGKM,ทต.หย่วน,19.5246256,100.3009984,หย่วน,เชียงคำ,พะเยา,Phayao,แม่น้ำโขง,ภาคเหนือ,North,R
PHKD,อบต.ศรีฐาน,16.8770816,101.861408,ศรีฐาน,ภูกระดึง,เลย,Loei,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,Northeast,R
RMMI,วัดวังตะเคียน,16.7114288,98.506688,ท่าสายลวด,แม่สอด,ตาก,Tak,แม่น้ำสาละวิน,ภาคเหนือ,North,R
KTKB,อบจ.ตาก,16.8778096,99.1396416,ระแหง,เมืองตาก,ตาก,Tak,แม่น้ำปิง,ภาคเหนือ,North,R
PMPN,ศูนย์ดูแลผู้สูงอายุ ทต.สามเงา,17.2249056,99.0511424,สามเงา,สามเงา,ตาก,Tak,แม่น้ำปิง,ภาคเหนือ,North,R
BOKA,ทต.บ่อเกลือใต้,19.080272,101.1519296,บ่อเกลือใต้,บ่อเกลือ,น่าน,Nan,แม่น้ำน่าน,ภาคเหนือ,North,R
UPCT,ทต.อุ้มผาง,16.0177824,98.86512,อุ้มผาง,อุ้มผาง,ตาก,Tak,แม่น้ำแม่กลอง,ภาคเหนือ,North,R
SNKO,ทต.ศรีนคร,17.355064,99.9922496,ศรีนคร,ศรีนคร,สุโขทัย,Sukhothai,แม่น้ำยม,ภาคเหนือ,North,R
TSLM,ทต.ทุ่งเสลี่ยม,17.3237504,99.5675584,ทุ่งเสลี่ยม,ทุ่งเสลี่ยม,สุโขทัย,Sukhothai,แม่น้ำยม,ภาคเหนือ,North,R
NGBA,ทต.หนองบัว,15.8707248,100.5973312,หนองบัว,หนองบัว,นครสวรรค์,Nakhon Sawan,แม่น้ำเจ้าพระยา,ภาคเหนือ,North,R
CGSN,ทต.โยนก,20.2400944,100.0673152,โยนก,เชียงแสน,เชียงราย,Chiang Rai,แม่น้ำกก,ภาคเหนือ,North,R
TKFA,อบต.ตากฟ้า,15.2964704,100.5028096,ตากฟ้า,ตากฟ้า,นครสวรรค์,Nakhon Sawan,แม่น้ำเจ้าพระยา,ภาคเหนือ,North,R
MWOG,อบต.แม่วงก์,15.7810048,99.5459136,แม่วงก์,แม่วงก์,นครสวรรค์,Nakhon Sawan,แม่น้ำสะแกกรัง,ภาคเหนือ,North,R
