code,name,lat,long,tambon,amphoe,province,basin,region,station_type
NNPT  ,อบต.วังทอง,17.3207936,102.0247936,วังทอง,นาวัง,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
SOKL  ,อบต.ปางกู่,17.0199984,102.5912384,ปางกู่,โนนสัง,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
BNHI  ,อบต.นาคำไฮ,17.2618176,102.3382080,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
SENM  ,ทต.เสริมงาม,18.0662384,99.2494784,ทุ่งงาม,เสริมงาม,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R
HNCG  ,ทต.ปากน้ำ,9.9465488,98.5951936,ปากน้ำ,เมืองระนอง,ระนอง,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
MRMT  ,อบต.แม่ระมาด,16.9899008,98.5182784,แม่ระมาด,แม่ระมาด,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R
BNPI  ,อบต.บ้านไผ่,16.1166208,102.7067264,ในเมือง,บ้านไผ่,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
SPWA  ,อบต.ป่าแก่บ่อหิน,7.0564368,99.8019136,ป่าแก่บ่อหิน,ทุ่งหว้า,สตูล,ภาคใต้ฝั่งตะวันตก,ภาคใต้,R
PHON  ,อบต.โนนข่า,15.7813488,102.5964864,โนนข่า,พล,ขอนแก่น,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
KPEM  ,อบต.พังทุย,16.7482288,102.9232064,พังทุย,น้ำพอง,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
NKTP  ,ทต.บะยาว,17.0808656,103.3991296,บะยาว,วังสามหมอ,อุดรธานี,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
NONA  ,อบต.หนองนาง,17.6951008,102.6152832,หนองนาง,ท่าบ่อ,หนองคาย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
PHPS  ,อบต.จุมพล,18.0591360,103.0817280,จุมพล,โพนพิสัย,หนองคาย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
PTWY  ,สวนสาธารณะหนองถิ่น ทม.หนองคาย,17.8770320,102.7271040,ในเมือง,เมืองหนองคาย,หนองคาย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
PGKH  ,ทต.พังโคน,17.3985968,103.7142912,พังโคน,พังโคน,สกลนคร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
KSPS  ,ทต.โกสุมพิสัย,16.2430304,103.0630912,หัวขวาง,โกสุมพิสัย,มหาสารคาม,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
KGTP  ,ทต.คุ้งตะเภา,17.6253120,100.1236672,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R
KSOD  ,อบต.คลองพา,9.5924744,99.1195712,คลองพา,ท่าชนะ,สุราษฎร์ธานี,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
NTTI  ,อบต.หนองหมื่นถ่าน,15.7541200,103.9174080,หนองหมื่นถ่าน,อาจสามารถ,ร้อยเอ็ด,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
ABRT  ,วัดเวฬุวัน,16.0547936,103.6642880,เหนือเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
KMCE  ,อบต.น้ำเที่ยง,16.5431232,104.4085056,น้ำเที่ยง,คำชะอี,มุกดาหาร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
BBUA  ,ทต.บัวสว่าง,17.3729184,103.9844672,สว่าง,พรรณานิคม,สกลนคร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
TARE  ,ทต.ท่าแร่,17.2517680,104.1817856,ท่าแร่,เมืองสกลนคร,สกลนคร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
DMKH  ,อบต.ด่านม่วงคำ,17.0792080,104.3258880,ด่านม่วงคำ,โคกศรีสุพรรณ,สกลนคร,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
BNKE  ,อบต.พุ่มแก,16.9088976,104.6186880,พุ่มแก,นาแก,นครพนม,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
CHHA  ,ทต.ช่อแฮ,18.0888608,100.2121216,ช่อแฮ,เมืองแพร่,แพร่,แม่น้ำยม,ภาคเหนือ,R
RGKG  ,อบต.ร้องกวาง,18.3588368,100.3339072,ร้องกวาง,ร้องกวาง,แพร่,แม่น้ำยม,ภาคเหนือ,R
SGMN  ,ศูนย์พัฒนาเด็กเล็ก อบต.สูงเม่น,18.0626656,100.0952832,สูงเม่น,สูงเม่น,แพร่,แม่น้ำยม,ภาคเหนือ,R
MCHI  ,ทต.แม่ใจ,19.3460624,99.8135872,แม่ใจ,แม่ใจ,พะเยา,แม่น้ำโขง,ภาคเหนือ,R
NMKI  ,ทต.หนองม่วงไข่,18.2642976,100.2001024,หนองม่วงไข่,หนองม่วงไข่,แพร่,แม่น้ำยม,ภาคเหนือ,R
DKMU  ,อบต.ปางหมู,19.3338496,97.9656832,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,แม่น้ำสาละวิน,ภาคเหนือ,R
BNHG  ,ทต.บ้านโฮ่ง,18.3353328,98.8183552,บ้านโฮ่ง,บ้านโฮ่ง,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R
KNYM  ,ทต.ขุนยวม,18.8313888,97.9366464,ขุนยวม,ขุนยวม,แม่ฮ่องสอน,แม่น้ำสาละวิน,ภาคเหนือ,R
CGMN  ,ทต.เชียงม่วน,18.8938416,100.2878400,เชียงม่วน,เชียงม่วน,พะเยา,แม่น้ำยม,ภาคเหนือ,R
BMKN  ,ทต.สันติสุข,18.5289920,98.8210816,สันติสุข,ดอยหล่อ,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
